user_history_group,outcome,effect,CI_95_lower,CI_95_upper,users
Sparse: 3–5,rank_improvement,-12.445664351333184,-17.221541003809097,-7.713127380685639,8926
Sparse: 3–5,delta_NDCG@10,0.002180102585116584,-2.3318062774026594e-05,0.0042321832590819985,8926
Sparse: 3–5,delta_Recall@20,0.014564194488012548,0.008287586825005602,0.02050190454850997,8926
Sparse: 3–5,delta_NDCG@20,0.004477912981219174,0.002136211780873927,0.006596036947897185,8926
Medium-low: 6–8,rank_improvement,-5.792194092827004,-13.933052039381153,2.548602320675103,2844
Medium-low: 6–8,delta_NDCG@10,-0.00048589032571215836,-0.003968838377850314,0.0029158892798997354,2844
Medium-low: 6–8,delta_Recall@20,0.008790436005625879,-0.0017580872011251757,0.018635724331926864,2844
Medium-low: 6–8,delta_NDCG@20,0.0015848063495257367,-0.0019857518372327827,0.005347987777599972,2844
Medium-high: 9–15,rank_improvement,2.143312101910828,-8.707935244161359,12.544864649681521,1884
Medium-high: 9–15,delta_NDCG@10,-0.002253043586102201,-0.005957546296360927,0.0015485467246772154,1884
Medium-high: 9–15,delta_Recall@20,0.0,-0.01167728237791932,0.01167728237791932,1884
Medium-high: 9–15,delta_NDCG@20,-0.001501349091236884,-0.005505567520444577,0.0022162783078235023,1884
Dense: 16+,rank_improvement,13.786088257292446,0.06841810022438297,27.495923709798046,1337
Dense: 16+,delta_NDCG@10,-0.0007238171996391269,-0.004260565600245317,0.002909961785666977,1337
Dense: 16+,delta_Recall@20,-0.002243829468960359,-0.013462976813762155,0.008975317875841436,1337
Dense: 16+,delta_NDCG@20,-0.0015180958922951266,-0.0055604219675230646,0.002389085510723733,1337
