term,coefficient,std_error,CI_95_lower,CI_95_upper,p_value,model,outcome
z_log_raw_image_count,0.00292942999500828,0.005297890696983983,-0.007454244965110131,0.01331310495512669,0.5803026460589117,Image quantity,delta_NDCG@10
z_eligible_label_diversity_raw,0.01416921420423374,0.005427887210175551,0.00353075076014407,0.02480767764832341,0.00904238693558061,Label diversity,delta_NDCG@10
z_log_raw_image_count,0.013640208409624651,0.014165027898294732,-0.01412273611103812,0.04140315293028742,0.33557280023750724,Image quantity,delta_Recall@20
z_eligible_label_diversity_raw,0.045781266801143,0.01668361977787624,0.013081972904745436,0.07848056069754056,0.006067986785210889,Label diversity,delta_Recall@20
z_log_raw_image_count,0.0047253367072067195,0.005657009314052186,-0.006362197808543202,0.015812871222956642,0.4035451529423768,Image quantity,delta_NDCG@20
z_eligible_label_diversity_raw,0.017902263589702556,0.006110742101879067,0.005925429151206994,0.029879098028198117,0.0033935685397863077,Label diversity,delta_NDCG@20
