Outcome,Visual characteristic,N,Clusters,R_squared,Adjusted_R_squared
delta_NDCG@10,Image quantity,13266,1452,0.0022624672463333884,0.0019615133114102568
delta_NDCG@10,Label diversity,13266,1452,0.014489041984621531,0.014191776029409908
delta_Recall@20,Image quantity,13266,1452,0.004326516742045539,0.004026185399535032
delta_Recall@20,Label diversity,13266,1452,0.017717529460362202,0.017421237334417028
delta_NDCG@20,Image quantity,13266,1452,0.003907714154302577,0.003607256485696597
delta_NDCG@20,Label diversity,13266,1452,0.021312607125690053,0.021017399405948156
