user_history_group,users,visual_supported_targets,median_nv_rank,median_mm_rank,mean_rank_improvement,mean_delta_ndcg10,mean_delta_recall20,mean_delta_ndcg20
Sparse: 3–5,8926,7890,223.0,225.0,-12.445664351333184,0.0021801025851165834,0.014564194488012548,0.004477912981219174
Medium-low: 6–8,2844,2516,273.0,274.0,-5.792194092827004,-0.00048589032571215847,0.008790436005625879,0.0015848063495257367
Medium-high: 9–15,1884,1671,325.0,321.5,2.143312101910828,-0.0022530435861022008,0.0,-0.0015013490912368838
Dense: 16+,1337,1189,413.0,416.0,13.786088257292446,-0.0007238171996391267,-0.002243829468960359,-0.0015180958922951266
