metric,full_mm,all_visuals_off,full_minus_all_off
Recall@5,0.04169168167567207,0.03582149289573744,0.0058701887799346274
NDCG@5,0.02668881896728501,0.02257550196875939,0.00411331699852562
MAP@5,0.02178529339826118,0.018306539479243097,0.003478753919018077
Recall@10,0.0675738776599293,0.06463878326996197,0.0029350943899673137
NDCG@10,0.03496455845636699,0.03170055239861931,0.00326400605774769
MAP@10,0.025145934121319352,0.021960133752208996,0.0031858003691103555
Recall@20,0.11099993329330932,0.10899873257287707,0.0020012007204322593
NDCG@20,0.045860112041624,0.04283956666740337,0.0030205453742206297
MAP@20,0.028092893780324816,0.02497609337441565,0.003116800405909165
